Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,box_only,night_drag_prawn,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Many Nasralas,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Gomber,Vak Vak,Shark,Pijama,Aras
1104,0,30,4,0,2015,1,22,Levi,Ashdod,17,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
1299,8,45,11,45,2015,5,3,Levi,Ashdod,9,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1 L+,,,,,1 S+,,,,,1,,,,,1 Ind L+,1 Ind L+,,,,,,,,,,,,,,,4 M+,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,1,,,,,,,,
1628,7,0,11,0,2015,9,21,Michael,Ashdod,14,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,,,,,,,,,1,,,,,,3 Kg,1 B+,,,,,,,,,,,,,1,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2195,17,0,19,45,2016,5,26,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,0.5,,,,,,,,,,,,3 Kg,,0.5,,,,,,,,,,,,,,0.5,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2630,15,0,18,45,2017,1,31,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,4.5,,,,,,,,,3 Kg,,,2,,,,,,,1 Kg,,,1,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2720,12,15,17,30,2017,3,15,Michael,Ashdod,20,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,1,,,2 Kg,,,,,,,1 Kg,,,1,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2743,7,0,13,0,2017,4,6,Michael,Ashdod,20,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,1.5,,,,,,,,,,,,,2,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2763,12,15,19,30,2017,4,18,Michael,Ashdod,22.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,0.25,2,,,0.25,,,,,,,,,,0.25,,,,,,,,,,,0.25,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
3042,19,30,23,30,2017,9,14,Michael,Ashdod,,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,3,,,1,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
3274,12,15,16,45,2017,11,23,Michael,Ashdod,19.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,11.5,,1.5,,,,5,,,0.5,,,0.5,,,,,,,1,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3277,13,30,17,15,2017,11,24,Michael,Ashdod,18.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,0.5,,,,2 Kg,,,1,,,7,,,0.5,,,1.5,0.5,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
3280,10,0,14,0,2017,11,25,Michael,Ashdod,17.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,1.5,,,,,,,,,1,,,5,,,1,,,2,1.25,,,,,,,,,,,0.5,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3317,17,45,23,45,2017,12,5,Levi,Ashdod,18,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,1,,2,,,0.5,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
3319,6,30,11,45,2017,12,8,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,10,,3,,,,0.5,,,1,,,2,,,,,,,2,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3320,12,15,17,30,2017,12,8,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,9,,1.5,,,,7 Kg,,,0.5,,,2,,,,,,,,,,,,,,,,3 Kg,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
3323,6,45,12,0,2017,12,9,Michael,Ashdod,19.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,4.5,,,,,,,,,2,,,5.5,,,,,,1.5,,,,,,,,,,5,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
3324,12,30,17,0,2017,12,9,Michael,Ashdod,19.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,4,,,,,,,,,1.5,,,2.5,,,,,,1,,,,,,,,,,4 Kg,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3350,6,45,11,30,2017,12,17,Michael,Ashdod,19.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
3351,12,0,16,30,2017,12,17,Michael,Ashdod,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,0.5,,,1,,,,,,0.5,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
3354,11,30,17,0,2017,12,18,Michael,Ashdod,19,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,,,,,,,,1,,,0.5,,,,,,2 Kg,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
