Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,night,Fish_gear,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Kaptzon
1,,,,,1978,05,12,Shrot,Ashdod N,110,,,,FALSE,,FALSE,,FALSE,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,
2,,,,,1978,05,12,Shrot,Jaffa N,110,,,,FALSE,,FALSE,,FALSE,FALSE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,
3,07,00,11,00,1978,05,13,Levi,El Arish W,17,,,,FALSE,,FALSE,,FALSE,FALSE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,7,,,,,FALSE,,,,,,,,,,
4,11,45,16,00,1978,05,13,Levi,El Arish,,,,,FALSE,,FALSE,,FALSE,FALSE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,7,,,,,FALSE,,,,,,,,,,
5,18,00,05,00,1978,05,14,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,40 Kg,,,,,FALSE,,,,,,,,,,
6,06,30,12,00,1978,05,15,Levi,keles E,,,,,FALSE,,FALSE,,FALSE,FALSE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10 Kg,,,,,FALSE,,,,,,,,,,
7,12,30,18,30,1978,05,15,Levi,keles,8,,,,FALSE,,FALSE,,FALSE,FALSE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,20 Kg,,,,,FALSE,,,,,,,,,,
8,19,00,05,00,1978,05,15,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,40 Kg,,,,,FALSE,,,,,,,,,,
9,06,00,12,00,1978,05,16,Levi,keles E,8,,,,FALSE,,FALSE,,FALSE,FALSE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6 Kg,,,,,FALSE,,,,,,,,,,
10,12,30,19,00,1978,05,16,Levi,keles,8,,,,FALSE,,FALSE,,FALSE,FALSE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6 Kg,,,,,FALSE,,,,,,,,,,
11,22,00,06,00,1978,05,16,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,25 Kg,,,,,FALSE,,,,,,,,,,
12,06,30,09,00,1978,05,17,Levi,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2 Kg,,,,,FALSE,,,,,,,,,,
13,10,45,14,00,1978,05,17,Levi,Mistach,18,,,,FALSE,,FALSE,,FALSE,FALSE,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,
14,14,30,17,30,1978,05,17,Levi,Borot,15,,,,FALSE,,FALSE,,FALSE,FALSE,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,
15,18,15,05,00,1978,05,17,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,35 Kg,,,,,FALSE,,,,,,,,,,
16,06,00,09,30,1978,05,18,Levi,keles E,8,,,,FALSE,,FALSE,,FALSE,FALSE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3 Kg,,,,,FALSE,,,,,,,,,,
17,14,30,16,15,1978,05,18,Levi,,8,,,,FALSE,,FALSE,,FALSE,FALSE,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2 Kg,,,,,FALSE,,,,,,,,,,
18,18,00,00,00,1978,05,18,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8 Kg,,,,,FALSE,,,,,,,,,,
19,00,00,06,00,1978,05,18,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5 Kg,,,,,FALSE,,,,,,,,,,
