Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Very_weak,Lokus,Box_general_from_comments,General_Kg_fromcomments
1,13,00,,,1990,9,22,Zion,,16,,,אשדוד,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
2,18,00,22,00,1990,9,22,Zion,,,,כדאי לעבור על היום הזה שוב ביומן,,FALSE,2,,,,,,,,2,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
3,23,00,4,45,1990,9,23,Zion,Falick,52,,ביומן יש תוספת לא מובנת לשעה 2:00,,FALSE,3,,,,,,,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
4,,,,,1990,9,25,Zion,Ashdod(S),,,"אין שעות 
לאחר המיקום רשום 27/25
למטה יש משפט לא מובן",,FALSE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10-12 ארגזים,FALSE,,11,
5,,,,,1990,9,26,Zion,Ashdod(S),,,"אין שעות
מה זה 1.4'?
יש משפט לא ברור בתחתית העמוד",,FALSE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
6,,,,,1990,9,27,Zion,Ashdod(S),,,"אין שעות
מה זה 1.4?",,FALSE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"15-20 ברשת
מניחה שמדובר בארגזים",FALSE,,18,
7,,,,,1990,9,30,Zion,,27,,,ניצנים,FALSE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
8,,,,,1990,9,30,Zion,,22,,יש הערה לא מובנת לגבי העומק,חסי,FALSE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
9,,,,,1990,9,30,Zion,,,,לא ברור מה כתוב שם,,FALSE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
10,,,,,1990,9,30,,,,,כנראה שזו יציאה נוספת (רביעית). יציאת לילה. לא כל מה שכתוב ברור,,FALSE,10,,,,,,,,2,,,,,,,9,,,,,,,,,,2,,,,,,,,,,,,FALSE,,FALSE,,,
11,6,45,9,00,1990,10,1,,Ashdod(N),,,רשת B 1700 חוליות שוות,,FALSE,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,9 ארגזים,FALSE,,9,
12,,,,,1990,10,1,,Ashdod(S),,,1.4,,FALSE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
13,,,,,1990,10,1,,Ashdod(N),,,"48-50
1620",,FALSE,13,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,FALSE,18 דטרולוס (?) הרוב,FALSE,,18,
14,,,,,1990,10,1,,Tel Aviv,,,48-50,,FALSE,14,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
15,6,00,9,00,1990,10,1,,Ashdod(N),,,"2.8
1700
3 חוליות בעליון",,FALSE,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,16 ארגזים,FALSE,,16,
16,9,45,13,00,1990,10,2,,,,,"2-2.8
1750",בת ים דרומה,FALSE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,22 ארגזים,FALSE,,22,
17,14,00,17,00,1990,10,2,,Ashdod(N),,,2.8,,FALSE,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
18,,,,,1990,10,2,,Ashdod(N),,,"48-50
יציאת ערב כנראה
10 שעות
1600 8 סימנים",,FALSE,18,,,,,,,,,6,,,,,,50 Kg,,,,,,,,,,1,,,,,,,,,,,,FALSE,ליד הגמבארי יש עוד מילה,FALSE,,,
19,00,00,6,00,1990,10,5,Levi,Ashdod(N),50-52,,,,FALSE,19,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
20,7,15,11,00,1990,10,5,Levi,,,,2.8,הרצליה דרומה,FALSE,20,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,FALSE,,FALSE,,,
21,11,30,15,00,1990,10,5,Levi,,,,,חזרה צפונה,FALSE,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,FALSE,9 ארגזים,FALSE,,9,
22,15,30,17,30,1990,10,5,Levi,,,,,חזרה דרומה,FALSE,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
23,19,30,00,30,1990,10,5,Levi,Jaffa,50,,,,FALSE,23,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
24,20,00,6,00,1990,10,9,Levi,Ashdod(N),50,,,,FALSE,24,,,,,,,,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,FALSE,5 גמבארי ורוד,FALSE,,gambri,
25,21,00,5,00,1990,10,11,,Ashdod(N),50,,,,FALSE,25,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
26,6,30,10,30,1990,10,12,Levi,,,,2.8,געש דרומה,FALSE,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"20 ארגזים
הרוב מליטה בינונית",FALSE,,20,
