Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Night_drag_comments,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Shark,Bori
1,22,00,05,30,1994,9,12,Levi,Ashdod N,50,,,FALSE,,FALSE,,FALSE,,1,,,,,,,,,,,,,,,80 Kg,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
2,07,00,10,00,1994,9,12,Levi,gaas S,,2.75,,FALSE,,FALSE,,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
3,11,30,15,00,1994,9,12,Levi,Jaffa S,,2.6,,FALSE,,FALSE,,TRUE,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,,
4,19,00,00,00,1994,9,12,Levi,Ashdod S,11,,,FALSE,,FALSE,,FALSE,Gambari,4,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
5,01,00,05,30,1994,9,13,Levi,Ashdod S,11,,,FALSE,,FALSE,,FALSE,Gambari,5,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
6,06,00,11,00,1994,9,13,Levi,Ashdod S,22,,,FALSE,,FALSE,,FALSE,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
7,12,00,16,30,1994,9,13,Levi,Katza N,27,,,FALSE,,FALSE,,FALSE,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
8,02,30,08,00,1994,9,16,Levi,Ashdod S,27,,,FALSE,,FALSE,,FALSE,,8,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,2,,,,,,,,FALSE,10 kg lokus,1 Ind,,,0.5,,,,,FALSE,,,,,,,,,,,
9,08,30,12,30,1994,9,16,Levi,Ashdod S,27,,,FALSE,,FALSE,,FALSE,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 B+3 S+0.5 M+,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
10,13,00,17,15,1994,9,16,Levi,Ashdod S,27,,,FALSE,,FALSE,,FALSE,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,mostly soltan,,,,18,,,,,FALSE,,,,,,,,,,,
11,20,00,05,00,1994,9,16,Levi,Ashdod S,10,,,FALSE,,FALSE,,FALSE,Gambari,11,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
12,06,45,10,,1994,9,17,Levi,Ashkelon N,28,,,FALSE,,FALSE,,FALSE,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
13,10,45,14,00,1994,9,17,Levi,Ashdod S,28,,,FALSE,,FALSE,,FALSE,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
14,14,30,18,00,1994,9,17,Levi,Ashkelon N,27,,,FALSE,,FALSE,,FALSE,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
15,22,00,05,00,1994,9,17,Levi,Ashdod S,7.5,,,FALSE,,FALSE,,FALSE,Gambari,15,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
16,,,,,1994,9,18,Levi,Ashkelon N,27,,,FALSE,,FALSE,3.1,FALSE,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
17,,,,,1994,9,18,Levi,Ashdod S,26,,,FALSE,,FALSE,2.7,FALSE,,17,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,2,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
18,,,,,1994,9,18,Levi,Ashdod S,27,,,FALSE,,FALSE,,FALSE,,18,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,3,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
19,20,30,04,30,1994,9,18,Levi,Ashdod,6.5,,,FALSE,,FALSE,,FALSE,Gambari,19,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
20,02,30,05,10,1994,9,21,Levi,Ashdod S,6,,,FALSE,,FALSE,2.3,FALSE,Gambari,20,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
21,07,00,10,30,1994,9,21,Levi,Ashkelon N,27,,,FALSE,,FALSE,,FALSE,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
22,11,00,12,00,1994,9,21,Levi,Ashkelon N,27,,,FALSE,,FALSE,,FALSE,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
23,12,30,17,00,1994,9,21,Levi,Ashdod S,27,,,FALSE,,FALSE,,FALSE,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
