Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Tamnoon,Soltan_Hol,Adom,Shark,Tuna,Deba,Alafuchim,Sardin_round
1,11,00,13,45,2007,10,07,Doly,Jaffa N,,,,,FALSE,,FALSE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,
2,14,15,17,30,2007,10,07,Doly,Hertzlia S,42,,,,FALSE,,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
3,18,45,04,45,2007,10,07,Doly,Jaffa S,11,,,,FALSE,,FALSE,,3,,,,,0.5,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,
4,06,00,09,00,2007,10,08,Doly,Ashdod S,,2.2,,,FALSE,,FALSE,,4,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
5,09,30,13,00,2007,10,08,Doly,Katza,21,1.4,,,FALSE,,FALSE,,5,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,FALSE,,1 Ind L+,,,2,,,,,FALSE,,,,,,,,
6,13,30,14,45,2007,10,08,Doly,Ashdod N,27,,,,FALSE,,TRUE,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
7,18,00,04,45,2007,10,08,,Ashdod N,14,,,,FALSE,,FALSE,,7,,,,,2,,,,45 Kg,,,,,,,,,,,,,,,,,,2,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
8,06,00,09,30,2007,10,09,Doly,Ashdod S,26,,,,FALSE,,FALSE,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
9,10,15,13,15,2007,10,09,Doly,Ashkelon N,27,,,,FALSE,,FALSE,,9,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,TRUE,,1,,,1,,,,,FALSE,,,1,,,,,
10,14,00,17,00,2007,10,09,Doly,Katza N,32,,,,FALSE,,FALSE,,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,3 *undefined,,,,2,,,,,FALSE,,,,,,,,
11,18,30,03,30,2007,10,09,Doly,Ashdod N,14.5,,,,FALSE,,FALSE,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
12,11,30,15,00,2007,10,10,Doly,Ashdod S,32,,,,FALSE,,FALSE,,12,,,,,,,,,,,,,,,,,,,,,,2 M+,,,,,,,2 M+,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
13,15,30,18,00,2007,10,10,Doly,Ashdod S,33,,,,FALSE,,FALSE,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
14,19,30,01,00,2007,10,10,Doly,Katza N,,1.5,,,TRUE,,FALSE,Gambari,14,,,,,3,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
15,01,30,05,30,2007,10,10,Doly,Ashdod S,8,,,,FALSE,,FALSE,Gambari,15,,,,,5,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
16,10,00,10,00,2007,10,11,Levi,Ashdod S,33,,,,FALSE,,FALSE,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 M+,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
17,10,30,14,00,2007,10,11,Levi,Gazza N,34,,,,FALSE,,FALSE,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
18,14,30,18,00,2007,10,11,Levi,nitzanim S,29,,,,FALSE,,FALSE,,18,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
19,19,00,03,00,2007,10,11,Levi,Ashdod N,16,,,,FALSE,,FALSE,Gambari,19,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
20,10,30,14,00,2007,,12,Levi,Ashdod S,32,,,,FALSE,,FALSE,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
21,15,00,18,00,2007,10,12,Levi,Katza N,32,,,,FALSE,,FALSE,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
22,19,30,05,30,2007,10,12,Levi,Ashdod N,15,,,,FALSE,,FALSE,Gambari,22,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
23,07,30,10,30,2007,10,13,Levi,Rishon S,,3,,,FALSE,,FALSE,,23,,,,,,,,,,,,,,,,1.5,,,,2 M+,2 S+,1.5,,,,,1,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
24,12,30,15,30,2007,10,13,Levi,Ashdod N,,3.1,,,FALSE,,FALSE,,24,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,1,,,,,,1,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
25,16,00,19,30,2007,10,13,Levi,Ashdod,18,,,,FALSE,,FALSE,,25,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
26,20,00,05,30,2007,10,13,Levi,Jaffa,13,,,,FALSE,,FALSE,Gambari,26,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
27,06,20,10,00,2007,10,14,Levi,Bat yam S,,3,,,FALSE,,FALSE,,27,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
28,10,45,13,30,2007,10,14,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,28,,,,,,,,,,,,,,,1.5,,,,,,,0.5,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
29,14,00,17,30,2007,10,14,Levi,Ashkelon N,28,3,,,FALSE,,FALSE,,29,,,,,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
30,18,00,,,2007,10,14,Levi,,15,,,,FALSE,,FALSE,Gambari,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
31,12,00,14,45,2007,10,15,Doly,Ashdod S,,1.4,,,FALSE,,FALSE,,31,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
32,15,15,17,45,2007,10,15,Doly,Ashdod S,,1.6,,,FALSE,,FALSE,,32,,,,,,,0.5,,,,,,,,0.5,,,0.5,,1.5,1,,,,,,,,,,,0.5,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
