Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Sardin_round,Shark
1,01,30,05,30,2008,10,01,Vadim,Ashdod N,,2.6,,,FALSE,,FALSE,Gambari,1,,,,,,,,,30 Kg,,,,,,2,2 M+2 L+,1,5,,1,,,,,,,,,,,,,,,1.5,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
2,06,00,09,30,2008,10,02,Vadim,Ashdod N,,2.8,,,FALSE,,FALSE,,2,,,,,,,,,,,,,,,3,4 B+4 M+1 L+,,4,,0.5,3,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
3,10,30,14,00,2008,10,02,Vadim,Jaffa S,,2,,,FALSE,,FALSE,,3,,,,,,,,,,,,0.5,,,4,4 B+3 M+1 L+,,,,,3,,,,,,,,0.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
4,14,45,18,30,2008,10,02,Vadim,Jaffa S,,2.6,,,FALSE,,FALSE,,4,,,,,,,,,,,,1,,,2,3 S+2 M+1.5 L+,,,,0.5,2,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
5,08,30,12,00,2008,10,03,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,5,,,,,,,,,,,1,,,,5,1 B+2 M+,,5,,,,3,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
6,13,00,16,00,2008,10,03,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,6,,,,,,,,,,,0.5,1,,,3,,,3,,,,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
7,16,30,19,00,2008,10,03,Vadim,Ashdod S,25,,,,FALSE,,FALSE,,7,,,,,,,,,,,,2,,,,3 S+,,3,,,,4,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
8,,,,,2008,10,03,Vadim,Ashdod N,,,,,FALSE,,FALSE,Gambari,8,,,,,,,,,70 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
9,07,00,10,30,2008,10,04,Vadim,Ashdod S,27,,,,FALSE,,FALSE,,9,,,,,,,,,,,1,1,,,,3,,2,,,,3,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
10,11,30,15,00,2008,10,04,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,10,,,,,,,,,,,,,1,,5,,,7,,,,4,,,,,,,,,,,,,,,FALSE,,5 Ind L+,,,,,,,,FALSE,,,,,,,,,,,
11,15,30,18,30,2008,10,04,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,11,,,,,,,,,,,,1,1,,5,1 M+,,7,,,,5,,,,,,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
12,,,,,2008,10,04,Vadim,Ashdod N,,1.4,,,FALSE,,FALSE,Gambari,12,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,1
13,08,30,12,00,2008,10,05,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,13,,,,,,,,,,,,1,,,3,,,3,,,,4,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
14,12,30,15,30,2008,10,05,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,14,,,,,,,,,,,,1.5,,,5,,,2,,,,4,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
15,16,00,18,30,2008,10,05,Vadim,Ashdod S,25,,,,FALSE,,FALSE,,15,,,,,,,,,,,,,,,4,2,,3,,,,3,,,,,,,2,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
