,,,,למחוק בשניהם,X,X.1,X.2,,,,,,,,,,,,,
,,,,למחוק משלי,High_Sea,Location_specifyed,Distance_specifyed,,,Depth_specifyed,Depth_diff,Missing,Speed,,,,,,,
,,,,למחוק משל איתי ,gambari_net,Drag_duration,Estimated_price,Origin,Market_price,price_source,fisherman_price,scintific_name,Store,Fishing_field_text,sp_resolotion,,,,,
,,,,להוסיף אצלי,Mae,Mce,Sma,,,,,,,,,,,,,
,,,,להוסיף אצל איתי,Many.Nasralas,Dce,Pin,Psa,Sha,Sig,Distance_from_shore_km,,,,,,,,Start_hh,להוריד את המילה time
,,,,לשנות אצלי,net_index,Start_hh,Draging_time,Depth_m,Net_Type,Commants,,,,,,,,,Start_mm,
,,,,לשנות אצל איתי,,,,,להמיר T או F,לאחד,,,,,,,,,End_hh,
,itay_col,dvora_col,,,,,,,,,,,,,,,,,End_mm,
3,Net,Net,,,למחוק עמודות מיותרות,,,,,,,,,,,,,,Year.XXXX.,להוריד ץX
,,,,,להוסיף עמודות,,,,,,,,,,,,,,Month.XX.,
4,net_index,Net_index,,,למיין לפי קבוצות סדר,,,,,,,,,,,,,,Day.XX.,
,new_site,Site,,,למיין מינים לפי אב,,,,,,,,,,,,,,Fishermen,
5,Start_hh,Start_Time_hh,,,לוודא str,,,,,,,,,,,,,,Fishing_field,
6,Start_mm,Start_Time_mm,,,לאחד,,,,,,,,,,,,,,,
7,End_hh,End_Time_hh,,,,,,,,,,,,,,,,,,
8,End_mm,End_Time_mm,,,,,,,,,,,,,,,,,,
9,Year,Year.XXXX.,,,,,,,,,,,,,,,,,,
10,Month,Month.XX.,,,,,,,,,,,,,,,,,,
11,Day,Day.XX.,,,,,,,,,,,,,,,,,,
12,Fisherman,Fishermen,,,,,,,,,,,,,,,,,,
13,Fishing_field,Fishing_field,,,,,,,,,,,,,,,,,,
14,Depth,Depth,,,,,,,,,,,,,,,,,,
15,Distance_to_Shore,Distance_to_Shore,,,,,,,,,,,,,,,,,,
,,Distance_from_shore_km,,,,,,,,,,,,,,,,,,
16,Commants,Commants,,,,,,,,,,,,,,,,,,
,Storm,Storm,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
,Very_weak,Very_weak,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,Duration,Draging_time,,,,,,,,,,,,,,,,,,
21,box_only,box_only,,,,,,,,,,,,,,,,,,
