"","X.2","X.1","X","Net","Net_index","Start_Time_hh","Start_Time_mm","End_Time_hh","End_Time_mm","Year.XXXX.","Month.XX.","Day.XX.","Fishermen","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","Speed","High_Sea","Net_Type","box_only","night_drag_prawn","Many.Nasralas","Very_weak","Missing","Comments","Draging_time","Site","Direction","Lat_shore","Lon_shore","Perpendicular","Eer","Sig","Mme","Nra","Aal","BOX","Pse","Eha","Pca","FIS","Per","Rrh","Psa","Sd","Lvu","WHT","SPH","Lmo","Arg","Sso","Ovu","Sco","Umo","Dce","Bbo","SPI","Sof","DIP","SAR","Sja","Sha","Lbu","MUL_UP","SPL","TRA","BAT","Ssi","Ccr","Pin","Plo","Bca","EPI","MUL","Pja","Sau","Sud","Upo","Depth_m","Distance_from_shore_km","Depth_specifyed","Distance_specifyed","Location_specifyed","Lon_final","Lat_final","Depth_diff","loc_DEPTH"
"1",1,1,1,1208,"1208_2_3_2015",1,0,"6","0",2015,3,2,"Levi","Ashdod S",17.5,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5,"Ashdod","S",31.83,34.63,301,0,0,0,30,0,0,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,31.5,NA,TRUE,NA,TRUE,34.611889095427,31.8392883913331,0.251504283764611,31.7515042837646
"2",2,2,2,311,"311_20_2_2014",18,15,"23","30",2014,2,20,"Doli","Ashdod S",12.5,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5.25,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,22.5,NA,TRUE,NA,TRUE,34.6254726139812,31.8323223407717,1.27634908773371,23.7763490877337
"3",3,3,3,112,"112_6_11_2013",0,30,"6","0",2013,11,6,"Levi","Ashdod S",23,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5.5,"Ashdod","S",31.83,34.63,301,0,0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,41.4,NA,TRUE,NA,TRUE,34.5693141848008,31.8611059049395,0.416018728789474,41.8160187287895
"4",4,4,4,2914,"2914_8_6_2017",21,15,"5","30",2017,6,8,"Levi","Ashdod S",16,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,8.25,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,28.8,NA,TRUE,NA,TRUE,34.6200394514618,31.8351089359297,0.488891706630305,28.3111082933697
"5",5,5,5,550,"550_21_5_2014",23,0,"5","0",2014,5,21,"Doli","Ashdod S",14,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,6,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,10,0,25.2,NA,TRUE,NA,TRUE,34.6236615960876,31.8332512317373,0.693817486056286,25.8938174860563
"6",6,6,6,3442,"3442_29_1_2018",15,30,"18","30",2018,1,29,"Michael","Ashdod S",20.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3,"Ashdod","S",31.83,34.63,301,0,0,0,35,0,5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,36.9,NA,TRUE,NA,TRUE,34.6263781093235,31.8318578855721,0.00295041687641628,23.7763490877337
"7",7,7,7,116,"116_7_11_2013",0,15,"3","30",2013,11,7,"Levi","Ashdod S",22,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.25,"Ashdod","S",31.83,34.63,301,0,0,0,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,39.6,NA,TRUE,NA,TRUE,34.5765623938262,31.8573932973578,0.180158153497693,39.7801581534977
"8",8,8,8,23,"23_10_10_2013",5,30,"10","0",2013,10,10,"Doli","Ashdod N",NA,51,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.5,"Ashdod","N",31.83,34.63,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,100,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,15,0,NA,91.8,NA,TRUE,TRUE,33.7949550282863,32.253644265937,NA,NA
"9",9,9,9,68,"68_24_10_2013",19,15,"23","30",2013,10,24,"Doli","Ashdod N",NA,36,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.25,"Ashdod","N",31.83,34.63,301,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,NA,64.8,NA,TRUE,TRUE,34.0413556324796,32.1296178538766,NA,NA
"10",10,10,10,198,"198_3_12_2013",0,30,"5","30",2013,12,3,"Levi","Ashdod N",NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5,"Ashdod","N",31.83,34.63,301,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"11",11,11,11,2720,"2720_15_3_2017",12,15,"17","30",2017,3,15,"Michael","Ashdod",20,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5.25,"Ashdod",NA,31.83,34.63,301,0,0,0,20,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,36,NA,TRUE,NA,TRUE,34.6046437176489,31.8430030221358,0.227482288352903,35.7725177116471
"12",12,12,12,395,"395_30_3_2014",19,30,"0","30",2014,3,30,"Levi","Ashdod S",12.5,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,22.5,NA,TRUE,NA,TRUE,34.6245671095692,31.8327867894934,1.27634908773371,23.7763490877337
"13",13,13,13,1760,"1760_13_11_2015",11,45,"15","0",2015,11,13,"Levi","Ashdod N",24,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.25,"Ashdod","N",31.83,34.63,301,0,0,0,0,0,5,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,25,0,43.2,NA,TRUE,NA,TRUE,34.63,31.83,0.283996905608937,16.7190329156517
"14",14,14,14,3673,"3673_7_5_2018",6,45,"11","15",2018,5,7,"Levi","Ashdod S",21,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.5,"Ashdod","S",31.83,34.63,301,0,0,0,10,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,37.8,NA,TRUE,NA,TRUE,34.5937745622592,31.8485741904839,0.0136293244925696,37.8136293244926
"15",15,15,15,325,"325_27_2_2014",18,0,"0","0",2014,2,27,"Levi","Ashdod N",17,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,6,"Ashdod","N",31.83,34.63,301,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,30.6,NA,TRUE,NA,TRUE,34.6209450012234,31.8346445195994,0.100151384910163,28.3111082933697
"16",16,16,16,117,"117_10_11_2013",8,15,"12","30",2013,11,10,"Doli","Ashdod S",NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.25,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,10,0,0,0,0,10,0,0,0,5,0,0,10,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"17",17,17,17,823,"823_6_10_2014",5,45,"10","0",2014,10,6,"Levi","Ashdod S",NA,28,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.25,"Ashdod","S",31.83,34.63,301,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,NA,50.4,NA,TRUE,TRUE,34.1724963601222,32.0632736544245,NA,NA
"18",18,18,18,1620,"1620_17_9_2015",7,30,"10","30",2015,9,17,"Levi","Ashdod S",16,24,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,10,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,60,0,10,0,0,0,0,0,0,0,0,0,0,28.8,43.2,TRUE,TRUE,TRUE,34.6209450012234,31.8346445195994,0.488891706630305,28.3111082933697
"19",19,19,19,880,"880_2_11_2014",22,30,"1","0",2014,11,2,"Levi","Ashdod S",NA,24,"whole in a Vir
waves",FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,2.5,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,NA,43.2,NA,TRUE,TRUE,34.2379956823077,32.0300504494881,NA,NA
"20",20,20,20,1212,"1212_3_3_2015",21,30,NA,NA,2015,3,3,"Levi","Ashdod S",14,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,NA,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,25.2,NA,TRUE,NA,TRUE,34.6281890728001,31.8309289557405,0.693817486056286,20.0021741680678
"21",21,21,21,182,"182_28_11_2013",23,30,"3","0",2013,11,28,"Doli","Ashdod N",14.5,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.5,"Ashdod","N",31.83,34.63,301,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,26.1,NA,TRUE,NA,TRUE,34.6245671095692,31.8327867894934,0.206182513943716,23.7763490877337
"22",22,22,22,193,"193_2_12_2013",17,30,"23","30",2013,12,2,"Levi","Ashdod N",13.5,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,6,"Ashdod","N",31.83,34.63,301,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,24.3,NA,TRUE,NA,TRUE,34.6263781093235,31.8318578855721,0.523650912266294,23.7763490877337
"23",23,23,23,3450,"3450_31_1_2018",13,0,"17","30",2018,1,31,"Michael","Ashdod",21.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.5,"Ashdod",NA,31.83,34.63,301,0,0,0,0,0,5,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,2,0,0,0,15,0,38.7,NA,TRUE,NA,TRUE,34.5838100219553,31.8536802745778,0.230049309608617,38.9300493096086
"24",24,24,24,1474,"1474_5_8_2015",2,30,"5","30",2015,8,5,"Levi","Ashdod S",16.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,29.7,NA,TRUE,NA,TRUE,34.6164171617107,31.8369665364607,0.107206216350956,29.807206216351
