"","Net","Start_Time_hh","Start_Time_mm","End_Time_hh","End_Time_mm","Year.XXXX.","Month.XX.","Day.XX.","Fishermen","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","Speed","High_Sea","Net_Type","box_only","night_drag_prawn","Anshubi","Bakala","Barbon","Ben_Gurion","Crab","Denis","Farida","Fish","Gambari","Gerbida","Hazir","Hulim","Intias","Jelly_Fish","Kalamari","Lavan","Makarunim","Malitta","Marmir","Musar","Palamud","Pas_Tzahov","Rofus","Rofus_Fake","Sabida","Saragus","Sardin","Scombri","Soltan","Soltan_Fake","Soltan_Mix","Special","Tarachun","Taref","Televisia","Trulus","Missing","Many.Nasralas","Comments","Lokus","Muslach","Gitara","Box_General","Tziporot","Varod","Vest","Shed.Yam","Very_weak","Daba","Octepus","Adom","Hazaim","Lokus_manot","Soltan_Hul","Gerbid_new","barbon_vadim","Cristal","Gomber","Vak.Vak","Shark","Pijama","Aras","Draging_time","Net_index","site","Direction"
"1",1104,0,30,"4","0",2015,1,22,"Levi","Ashdod",17,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,NA,NA,"1",NA,NA,NA,"5 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,"1104_22_1_2015","Ashdod",NA
"2",1299,8,45,"11","45",2015,5,3,"Levi","Ashdod",9,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,"1 L+",NA,NA,NA,NA,"1 S+",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1 Ind L+","1 Ind L+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 M+",FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,3,"1299_3_5_2015","Ashdod",NA
"3",1628,7,0,"11","0",2015,9,21,"Michael","Ashdod",14,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"3 Kg","1 B+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1628_21_9_2015","Ashdod",NA
"4",2195,17,0,"19","45",2016,5,26,"Michael","Ashdod",18,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 Kg",NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,"2195_26_5_2016","Ashdod",NA
"5",2630,15,0,"18","45",2017,1,31,"Michael","Ashdod",18,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"4.5",NA,NA,NA,NA,NA,NA,NA,NA,"3 Kg",NA,NA,"2",NA,NA,NA,NA,NA,NA,"1 Kg",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,"2630_31_1_2017","Ashdod",NA
"6",2720,12,15,"17","30",2017,3,15,"Michael","Ashdod",20,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"2 Kg",NA,NA,NA,NA,NA,NA,"1 Kg",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,"2720_15_3_2017","Ashdod",NA
"7",2743,7,0,"13","0",2017,4,6,"Michael","Ashdod",20,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"2743_6_4_2017","Ashdod",NA
"8",2763,12,15,"19","30",2017,4,18,"Michael","Ashdod",22.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"0.25","2",NA,NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25",FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,"2763_18_4_2017","Ashdod",NA
"9",3042,19,30,"23","30",2017,9,14,"Michael","Ashdod",NA,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,NA,NA,"3",NA,NA,"1","20 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3042_14_9_2017","Ashdod",NA
"10",3274,12,15,"16","45",2017,11,23,"Michael","Ashdod",19.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"11.5",NA,"1.5",NA,NA,NA,"5",NA,NA,"0.5",NA,NA,"0.5",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"3274_23_11_2017","Ashdod",NA
"11",3277,13,30,"17","15",2017,11,24,"Michael","Ashdod",18.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"3",NA,"0.5",NA,NA,NA,"2 Kg",NA,NA,"1",NA,NA,"7",NA,NA,"0.5",NA,NA,"1.5","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,"3277_24_11_2017","Ashdod",NA
"12",3280,10,0,"14","0",2017,11,25,"Michael","Ashdod",17.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"5",NA,NA,"1",NA,NA,"2","1.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3280_25_11_2017","Ashdod",NA
"13",3317,17,45,"23","45",2017,12,5,"Levi","Ashdod",18,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,NA,NA,"1",NA,"2",NA,NA,"0.5","15 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"3317_5_12_2017","Ashdod",NA
"14",3319,6,30,"11","45",2017,12,8,"Michael","Ashdod",18,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"10",NA,"3",NA,NA,NA,"0.5",NA,NA,"1",NA,NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,"3319_8_12_2017","Ashdod",NA
